IDrespond,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Age,Education,Occupation,Income,q1k,q2k,q3k,q4k,Q5K1,Q5K2,Q5K3,Q5K4,Q5K5,Q5K6,Q5K7,Q6K,Q7K,Q8K,Q9K,Q10C1,Q10C2,Q10C3,Q10C4,Q10C5,Q10C6,Q10C7,Q11C1,Q11C2,Q11C3,Q11C4,Q11C5,Q12C1,Q12C2,Q12C3,Q12C4,Q12C5,Q12C6,Q12C8,Q13C1,Q13C2,Q13C3,Q13C4,Q13C5,Q13C6,Q14C,Q15C1,Q15C2,Q15C3,Q15C4,Q15C5,Q15C6,Q16P1,Q16P2,Q16P3,Q16P4,Q16P5,Q17P1,Q17P2,Q17P3,Q17P4,Q17P5,Q18I1,Q18I2,Q18I3,Q18I4,Q22C1,Q22C2,Q22C3,Q22C4,Q22c5,Q22c6
QSI238,0,59.153.237.82,100,1014,1,04/03/2019,R_33veud9tTwM5DRN, , , , ,21.03129578,105.851593,anonymous,VI,2,50,2,2,3,2,1,3,2,1,1, ,1, ,1, ,1,3,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,3,6,4,2,5,8,3,1,2,5,6,4,2,1, ,1,1,1, , ,1, , , ,2,2,2,2,3,4,5,5,5,4,5,2,3,1,6
QSI239,0,58.187.125.124,100,893,1,04/03/2019,R_24GwHKEeS1auOPK, , , , ,10.81419373,106.6437988,anonymous,VI,2,33,2,2,3,1,1,3,1,1,1, ,1,1,1, ,1,2,4,2,2,2,1,2,2,2,2,1,1,1,1,1,4,3,2,5,6,1,8,2,4,1,5,3,6,2, , , , ,1, , ,1,1, , ,1,2,2,1,3,4,1,5,2,1,2,3,5,4,6
QSI240,0,171.228.30.141,100,601,1,04/03/2019,R_1jCWRSy9bkIm5n3, , , , ,21.03129578,105.851593,anonymous,EN-GB,2,47,3,4,3,4,1,4,1,1,1, , , ,1, ,2,3,1,2,2,2,1,2,1,1,1,1,1,1,1,1,5,6,3,2,4,1,8,5,3,2,4,1,7,1,1, ,1,1,1, , ,1, , , ,2,3,3,3,4,5,5,4,5,4,3,2,5,1,6
QSI241,0,123.16.105.67,100,36509,1,04/03/2019,R_1kRdgo55gnlcden, , , , ,21.03129578,105.851593,anonymous,VI,2,36,2,4,2,1,1,1,2,1,1,1,1, ,1, ,2,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,5,4,6,3,8,1,3,4,2,6,5,1,1, , , , , , , ,1, , ,2,2,3,2,3,3,3,4,3,1,2,3,4,5,6
QSI242,0,27.67.142.245,100,586,1,04/03/2019,R_3iX8CvYoO7RsSub, , , , ,21.03129578,105.851593,anonymous,VI,2,32,2,2,3,1,1,3,2,1,1,1, , ,1, ,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,6,4,8,4,2,1,5,3,6,1,1,1,1,1,1, , ,1, , , ,2,2,2,1,3,2,2,2,2,3,4,1,5,2,6
QSI243,0,116.98.62.140,100,685,1,04/03/2019,R_D1eJzyUBytrVeoh, , , , ,16.0677948,108.2207947,anonymous,EN,1,36,1,3,3,2,1,4,1,1,1, , , , , ,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,5,2,4,3,6,1,8,2,3,4,5,1,6,1, , ,1, ,1, , ,1,1, , ,2,1,2,2,2,5,5,5,5,4,1,5,2,3,6
QSI244,0,117.2.191.36,100,852,1,04/03/2019,R_3L7oxQ423Gz2Nxn, , , , ,16.46670532,107.6000061,anonymous,VI,2,43,2,2,2,2,1,3,1,1,1,1,1,1,1, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,2,3,1,8,2,1,3,5,4,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,2,5,1,4,3,6
QSI245,0,58.187.66.245,100,1386,1,04/03/2019,R_4IzaBx8XwHKpVCh, , , , ,21.03129578,105.851593,anonymous,EN-GB,2,42,2,2,3,3,1,4,1,1,1, ,1, ,1, ,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,4,3,6,2,1,7,2,4,5,6,3,1,1,1,1,1,1,1, ,1, , , ,1,1,3,1,1,1,1,1,3,1,5,3,2,4,1,6
QSI246,0,123.16.241.147,100,563,1,04/03/2019,R_1Ej3PsOclehiDGc, , , , ,21.03129578,105.851593,anonymous,VI,2,30,2,2,3,2,1,1,1,1,1,1,1, , , ,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,3,4,2,8,4,2,1,5,3,6,1, , , , ,1, , ,1, , , ,2,2,2,2,2,3,3,3,3,4,3,2,5,1,6
QSI247,0,117.5.144.42,100,730,1,04/03/2019,R_2QWpO8BvoyqwG1m, , , , ,21.03129578,105.851593,anonymous,VI,2,40,3,2,3,2,1,3,1,1,1,1, ,1,1, ,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,6,2,3,1,5,4,7,1,5,4,2,3,6,2,1,1,1,1,1, ,1, , , , ,2,2,3,2,3,3,2,3,1,3,4,5,2,1,6
QSI248,0,14.231.84.219,100,448,1,04/03/2019,R_3oSfyhuMP9JNnNK, , , , ,21.03129578,105.851593,anonymous,EN,2,33,3,4,3,2,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,6,3,5,1,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,2,3,4,5,1,6
QSI249,0,27.79.148.28,100,798,1,04/03/2019,R_OI4jG2hymQXDuPn, , , , ,21.03129578,105.851593,anonymous,VI,2,29,3,4,2,2,1,3,1,1,1, ,1, , , ,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,6,3,5,2,4,1,8,5,1,2,4,3,6,1, ,1,1,1,1, , ,1, , , ,2,1,2,2,1,5,4,5,5,5,2,4,3,1,6
QSI250,0,183.81.75.17,100,536,1,04/03/2019,R_3egaObuVQLKKdf6, , , , ,21.03129578,105.851593,anonymous,VI,2,36,3,4,2,5,1,4,2, , , , , , ,1,2,3,4,2,1,1,1,2,2,1,2,1,1,1,1,1,1,5,6,4,2,3,8,3,2,1,4,5,6,1, , , , ,1, ,1, , , , ,3,2,1,2,3,4,5,5,5,2,4,3,5,1,6
QSI251,0,115.78.5.8,100,814,1,04/03/2019,R_2CQhC2H9imOeHP7, , , , ,10.81419373,106.6437988,anonymous,VI,2,27,3,2,2,5,1,3,1,1,1, , ,1,1, ,1,3,4,2,1,3,1,3,1,1,1,1,1,1,1,2,1,5,2,4,3,6,8,5,1,2,4,3,6,1, , ,1, ,1,1, ,1,1, , ,3,3,4,2,3,5,3,5,5,3,1,4,5,2,6
QSI252,0,113.20.98.15,100,749,1,04/03/2019,R_3Ma5VDA5PoeL93c, , , , ,21.03129578,105.851593,anonymous,VI,2,35,3,4,2,1,1,2,1,1,1, , , ,1, ,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,3,4,2,1,6,5,7,4,1,2,5,3,6,1,1, , ,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,2,3,1,5,4,6
QSI253,0,27.79.132.79,100,910,1,04/03/2019,R_2YhXN5GPtJ02mlk, , , , ,21.03129578,105.851593,anonymous,EN,2,34,3,4,4,2,1,3,1,1,1, ,1, ,1, ,1,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,4,5,6,3,2,1,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,5,4,3,2,1,6
QSI254,0,59.6.7.69,100,791,1,04/03/2019,R_2SC4QT3yglvWsUP, , , , ,37.59849548,126.978302,anonymous,EN,2,32,3,4,4,2,1,4,1,1,1, ,1, , , ,1,3,4,1,2,2,2,2,1,2,1,1,1,1,1,1,6,5,4,1,2,3,8,5,3,2,4,1,7,1, , ,1,1,1, ,1, , , , ,2,2,1,2,2,2,2,2,1,5,3,4,2,1,6
QSI255,0,118.70.81.242,100,2365,1,04/03/2019,R_1QhWiph2ZKxgbNt, , , , ,21.03129578,105.851593,anonymous,EN,2,38,3,4,2,1,1,3,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,6,2,8,4,2,1,5,3,6,1,1,1,1,1,1, ,1,1,1, , ,2,2,2,1,1,5,5,4,4,2,3,4,5,1,6
QSI256,0,1.46.38.175,100,1144,1,04/03/2019,R_3nl2xvy27m3gJAr, , , , ,13.70860291,100.4552917,anonymous,VI,1,31,2,4,3,2,1,4,2,1,1,1, , ,1, ,1,3,2,2,2,2,3,2,1,2,1,1,2,1,1,1,1,5,6,2,4,3,8,1,2,3,5,4,6,1,1, , , ,1, , ,1,1, , ,2,2,3,2,2,2,1,3,4,1,3,4,5,2,6
QSI257,0,118.70.244.18,100,1441,1,04/03/2019,R_6SiMqJbNlLmGz7P, , , , ,21.03129578,105.851593,anonymous,EN,2,28,3,2,3,1,1,4,1,1,1,1,1, ,1, ,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,6,1,2,4,8,4,2,1,5,3,6,1,1,1,1,1,1, , ,1, , , ,1,1,1,1,2,1,1,1,1,4,5,2,3,1,6
QSI258,0,59.153.235.241,100,5257,1,04/03/2019,R_2rU7UiHuU3j1MUL, , , , ,21.03129578,105.851593,anonymous,VI,2,34,2,2,3,2,1,3,1,1,1, , , ,1, ,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,6,5,2,1,8,3,2,1,4,6,7,1, , , , ,1, , ,1, , , ,2,2,2,2,2,5,5,5,5,1,2,3,5,4,6
QSI259,0,140.115.151.237,100,5735,1,04/03/2019,R_A5LhUAz4h1L9xJL, , , , ,24.07400513,120.5383911,anonymous,VI,4,28,3,1,2,2,1,3,2,1,1, , , ,1, ,2,2,4,2,2,3,2,3,2,2,1,3,3,3,1,1,3,5,2,4,6,1,8,3,4,2,5,1,6,1,1, ,1,1, , , ,1,1, , ,2,2,1,2,2,1,1,1,1,1,2,3,5,4,6
QSI260,0,27.67.189.181,100,664,1,04/03/2019,R_3fdfPWJWG1Nxyw3, , , , ,21.03129578,105.851593,anonymous,EN,2,31,2,2,3,2,1,2,2,1,1,1,1,1,1, ,1,3,1,2,2, , , , , , ,1,1,1,1,1,1,6,4,3,5,2,7,4,3,2,5,1,6,1,1,1,1,1,1, ,1, , , , ,2,2,2,2,2,4,5,4,4,2,1,3,4,5,6
QSI261,0,118.70.190.66,100,468,1,04/03/2019,R_1DUzI0exono6Ipd, , , , ,21.03129578,105.851593,anonymous,VI,2,32,2,2,3,1,3,4,1,1,1, , , ,1, ,1,2,4,2,2,2,3,2,1,1,1,1,1,1,1,1,3,4,5,2,6,1,8,4,3,2,5,1,6,2, , , , ,1, , ,1, , , ,1,2,1,3,3,5,5,4,5,3,1,2,5,4,6
QSI262,0,171.255.133.81,100,1465,1,04/03/2019,R_2SGHcJd1jGioncU, , , , ,16.0677948,108.2207947,anonymous,VI,2,23,2,4,2,5,1,3,2,1,1,1,1,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,1,2,3,8,2,4,5,3,1,6,1,1,1,1,1,1, ,1, , , , ,2,2,2,2,2,3,3,3,3,5,3,2,4,1,6
QSI263,0,113.160.113.4,100,814,1,04/03/2019,R_2aJLZWjwhRBv2AZ, , , , ,10.40429688,106.4916992,anonymous,EN,2,33,2,2,2,1,1,4,2,1,1, , , ,1, ,1,3,2,2,2,2,1,4,3,3,1,1,1,1,1,1,2,5,3,1,4,6,8,5,2,1,3,4,6,1, , , , ,1, , ,1, , , ,3,3,2,2,3,4,1,1,3,5,3,2,4,1,6
QSI264,0,171.241.192.132,100,1548,1,04/03/2019,R_2pLGGTniI5BneNN, , , , ,21.03129578,105.851593,anonymous,EN,2,35,2,2,3,2,1,4,1,1,1,1,1,1,1, ,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,5,1,3,6,2,8,5,1,2,4,3,6,1,1,1,1,1,1, , ,1, , ,1,1,1,2,3,2,5,5,5,5,2,3,5,4,1,6
QSI265,0,171.242.193.247,100,546,1,04/03/2019,R_2S328rWkWSnqyYy, , , , ,20.07809448,105.8602905,anonymous,VI,2,38,3,4,2,1,1,4,1,1,1, ,1, ,1, ,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,2,6,5,8,3,2,1,5,4,6,1, , , , ,1, , , ,1, , ,2,2,2,2,2,1,5,1,2,4,2,1,3,5,6
QSI266,0,113.160.171.106,100,1668,1,04/03/2019,R_2wzf4oJQ2kuCY8H, , , , ,18.66670227,105.666687,anonymous,VI,2,31,2,2,3,2,1,4,1,1,1, , ,1,1, ,1,3,4,2,1,1,2,2,1,1,2,1,1,1,1,1,2,5,6,1,3,4,8,3,2,1,4,5,6,1,1,1,1,1,1, , ,1,1, , ,2,2,2,2,2,5,5,5,5,4,3,2,5,1,6
QSI267,0,116.101.126.194,100,3366,1,04/03/2019,R_VX5LTO7SoDHpyQV, , , , ,21.03129578,105.851593,anonymous,JA,2,24,2,4,2,2,1,2,2,1,1, ,1, ,1, ,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,5,3,4,2,6,1,8,4,1,2,5,3,6,1, , , , ,1, ,1, , , , ,2,2,1,1,2,5,5,5,5,3,2,5,4,1,6
QSI268,0,103.27.66.60,100,474,1,04/03/2019,R_2V2OWlzSJO9vwt0, , , , ,21.03129578,105.851593,anonymous,EN,2,30,2,2,3,1,1,3,2,1,1, ,1, ,1, ,1,2,1,2,2,2,3,2,2,2,1,1,1,1,1,1,4,6,5,1,3,2,8,5,2,1,3,4,6,1,1,1,1,1,1, ,1, , , , ,2,2,2,3,3,1,1,2,3,5,2,3,4,1,6
QSI269,0,113.23.54.230,100,945,1,04/03/2019,R_2S6JevsJRycftk2, , , , ,21.03129578,105.851593,anonymous,VI,2,36,3,4,2,2,1,4,1,1,1,1,1, ,1, ,1,3,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,4,5,6,1,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,2,2,2,2,2,5,5,4,5,2,3,4,5,1,6
QSI270,0,14.231.101.73,100,931,1,04/03/2019,R_snDjkcbfGjZZzdD, , , , ,21.03129578,105.851593,anonymous,VI,2,32,2,2,2,1,1,1,2,1,1,1,1, ,1, ,1,3,1,2,1,1,2,3,2,1,2,1,1,1,1,1,1,2,5,3,4,6,8,4,3,2,1,5,6,1,1, ,1,1,1, ,1,1,1, , ,3,3,3,2,3,4,4,4,3,5,4,1,3,2,6
QSI271,0,103.7.196.2,100,862,1,04/03/2019,R_3IYanfcXTtRA3Sd, , , , ,10.81419373,106.6437988,anonymous,VI,2,32,2,2,4,1,1,3,1,1,1,1, ,1,1, ,1,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,3,6,1,5,4,2,8,2,3,1,4,5,6,1, , , , ,1, , ,1, , , ,2,2,1,1,2,5,5,5,5, , , , , , 
QSI272,0,113.172.162.248,100,423,1,04/03/2019,R_2V9ZPH0xrdlZ3CV, , , , ,10.81419373,106.6437988,anonymous,VI,2,21,2,1,2,2,1,3,2,1,1,1,1, ,1, ,1,2,3,2,1,2,2,1,1,1,1,1,3,3,1,1,3,5,4,1,6,2,8,3,1,2,4,5,6,1,1,1,1,1,1, , ,1, , , ,1,1,1,1,2,5,5,5,5,2,1,3,5,4,6
QSI273,0,42.113.184.99,100,399,1,04/03/2019,R_1OK68FjLE2cprkK, , , , ,10.81419373,106.6437988,anonymous,VI,1,27,2,1,2,2,1,4,2,1,1, , , ,1, ,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,4,3,2,8,5,3,2,4,1,6,2,1,1,1,1,1, , ,1, , , ,3,3,2,3,4,4,4,4,4,2,3,5,4,1,6
QSI274,0,115.73.217.121,100,1875,1,04/03/2019,R_Qm1vQoIP9GShe7v, , , , ,10.81419373,106.6437988,anonymous,VI,1,22,2,1,2,1,1,3,1,1,1,1,1,1,1, ,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,5,6,3,2,4,1,8,3,2,1,5,4,6,2,1,1,1,1,1, , ,1, , , ,2,1,1,2,2,4,4,5,4,3,4,5,2,1,6
QSI275,0,1.52.125.52,100,1277,1,04/03/2019,R_3qwVoWkTu2whyUV, , , , ,21.03129578,105.851593,anonymous,VI,2,27,3,2,2,2,1,1,1,1,1,1,1,1,1, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,3,2,1,7,5,2,1,4,3,6,1,1,1,1,1,1, , ,1,1, , ,2,3,2,1,1,5,5,5,5,5,3,1,4,2,6
QSI276,0,14.243.123.246,100,499,1,04/03/2019,R_3DvX3lYdFnswr1D, , , , ,10.81419373,106.6437988,anonymous,EN,1,24,2,1,2,1,1,3,1,1,1, ,1, ,1, ,1,3,4,2,1,1,2,1,1,1,2,1,1,1,1,1,6,5,4,1,2,3,8,4,1,5,3,2,6,1,1,1,1,1,1, , ,1, , , ,3,2,1,2,2,1,1,1,1,4,1,3,5,2,6
QSI277,0,113.185.11.85,100,490,1,04/03/2019,R_bdrlhp5McIJ3Uyd, , , , ,21.03129578,105.851593,anonymous,VI,2,33,3,2,2,1,1,2,2,1, ,1,1, ,1, ,1,3,4,2,1,1,2,1,1,1,2,3,1,1,1,1,6,1,3,2,4,5,8,2,1,3,4,5,6,1, , , , ,1, ,1, , , , ,1,1,1,1,2,4,4,4,5,2,4,5,3,1,6
QSI278,0,115.73.217.121,100,692,1,04/03/2019,R_PMUQy0djRjd0KLn, , , , ,10.81419373,106.6437988,anonymous,EN,2,38,3,4,2,2,1,3,1,1,1, ,1, ,1, ,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,2,1,3,8,5,2,1,4,3,6,1, , , , ,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,5,4,3,2,1,6
QSI279,0,59.153.235.247,100,690,1,04/03/2019,R_2pLTCsjpQr8Kkap, , , , ,21.03129578,105.851593,anonymous,VI,2,25,2,2,2,2,1,4,1,1,1, ,1,1,1, ,1,3,2,2,1,1,1,2,1,1,2,1,1,1,1,1,3,4,5,1,6,2,8,3,4,1,2,5,6,1, , , , ,1, , ,1, , , ,2,2,1,1,2,5,5,5,5,1,2,5,4,3,6
QSI280,0,125.234.105.217,100,737,1,04/03/2019,R_3JEibXHCzERGNzV, , , , ,10.81419373,106.6437988,anonymous,EN,1,41,2,2,4,2,1,3,2,1,1, , , , , ,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,5,4,6,8,4,3,2,5,1,6,1,1, ,1, ,1, , ,1,1, , ,1,1,1,1,1,5,5,5,5,2,3,5,4,1,6
QSI281,0,116.109.52.60,100,747,1,04/03/2019,R_3hxBBX5SrGjt6gs, , , , ,10.81419373,106.6437988,anonymous,VI,2,21,2,1,2,2,1,3,1,1,1, ,1, , , ,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,5,6,3,2,1,4,8,5,1,2,3,4,6,2, , , , ,1, , , ,1, , ,2,2,2,2,2,4,4,4,4,2,1,3,5,4,6
QSI282,0,14.160.26.202,100,2501,1,04/03/2019,R_1iszLHvkkJql8jJ, , , , ,21.03129578,105.851593,anonymous,EN,2,31,3,2,4,1,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,2,2,3,1,1,1,1,2,1,1,1,5,2,6,1,4,3,8,2,1,3,4,5,6,1,1,1,1,1,1, ,1, , , , ,2,2,2,1,3,5,5,4,5,1,2,5,4,3,6
QSI283,0,103.7.196.2,100,587,1,04/03/2019,R_3qkRp1E5fPwkD7B, , , , ,10.81419373,106.6437988,anonymous,EN,2,26,3,2,3,2,1,3,1,1,1,1, ,1,1, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,2,4,3,1,8,3,2,1,5,4,6,1,1,1,1,1,1, , ,1, , , ,1,1,1,1,1,5,5,5,5,1,2,4,5,3,6
QSI284,0,58.187.168.93,100,822,1,04/03/2019,R_2wueuJlM7iDlnYj, , , , ,10.81419373,106.6437988,anonymous,EN,2,44,3,4,3,2,1,3,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,1,6,2,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,1,1,1,1,3,4,5,6,2,1
QSI285,0,185.204.209.183,100,712,1,04/03/2019,R_6g5dA0tfMlvUFrz, , , , ,48.85820007,2.338699341,anonymous,EN,1,38,3,4,3,2,1,4,1,1,1,1,1,1,1, ,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,4,5,1,6,3,8,3,2,1,5,4,6,1,1, ,1,1,1, ,1, , , , ,1,1,1,1,2,5,5,5,5,2,4,5,3,1,6
QSI286,0,14.186.51.67,100,1889,1,04/03/2019,R_AhBqPW1j1cp78jf, , , , ,10.81419373,106.6437988,anonymous,VI,2,32,3,4,2,1,1,4,2,1,1,1,1,1,1, ,1,2,3,2,1,1,1,2,1, ,1,1,1,1,1,1,1,2,3,6,5,4,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, ,1, , ,2,1,1,2,2,4,4,5,5,3,2,1,4,5,6
QSI287,0,171.249.83.255,100,449,1,04/03/2019,R_24uxa55lZbjO96i, , , , ,10.81419373,106.6437988,anonymous,VI,2,22,2,1,2,2,1,2,1,1,1, ,1, ,1, ,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,5,1,3,6,4,2,8,5,1,2,4,3,6,2, , , , ,1, ,1, , , , ,2,2,1,1,3,1,1,1,1,5,2,4,3,1,6
QSI288,0,14.161.22.31,100,961,1,04/03/2019,R_2fg1jXi2pO2Ty4d, , , , ,10.81419373,106.6437988,anonymous,VI,1,27,3,2,2,5,1,3,1,1,1,1,1, ,1, ,1,2,4,1,1,2,1,2,2,2,2,1,1,1,1,1,4,3,6,5,1,2,8,4,2,1,5,3,6,3,1,1, ,1,1, , ,1, , , ,1,2,2,2,3,5,4,4,4,1,2,5,3,4,6
QSI289,0,27.66.174.233,100,606,1,04/03/2019,R_WDrC8kzrhL8zF61, , , , ,20.44999695,106.333313,anonymous,EN,2,30,2,2,3,2,1,4,1, , , , , ,1, ,1,3,4,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,3,7,4,2,8,2,3,1,4,5,6,2,1,1,1,1,1, , ,1, , , ,2,3,3,2,3,3,3,5,1,5,1,3,2,4,6
QSI290,0,113.23.54.230,100,851,1,04/03/2019,R_3oZRpxRIGKij0xq, , , , ,21.03129578,105.851593,anonymous,EN,2,36,3,2,2,1,1,4,1,1,1, ,1, ,1, ,1,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1, , , , , , , ,2,1,3,4,5,6,1,1,1,1,1,1, , ,1, , , ,2,2,1,2,2,5,5,5,5,5,4,2,3,1,6
QSI291,0,113.185.11.169,100,574,1,04/03/2019,R_2787hSQVodFJ3Eo, , , , ,21.03129578,105.851593,anonymous,EN,2,31,3,2,3,1,1,1,2, , , ,1, ,1, ,1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,4,5,6,1,2,3,8,4,2,3,5,1,6,1,1,1,1,1,1, , ,1,1, , ,2,2,3,3,3,5,5,4,5,5,1,3,4,2,6
QSI292,0,171.240.255.57,100,498,1,04/03/2019,R_3Gs1a0eo9fUfS53, , , , ,10.81419373,106.6437988,anonymous,EN,2,22,2,2,2,2,1,4,1,1,1,1,1, ,1, ,1,2,4,2,1,1,1,2,1,1,1,1,1,1,1,1,2,3,4,1,6,5,8,4,2,1,5,3,6,1,1, , , , , ,1, , , , ,1,1,1,1,2,5,5,5,5,5,4,1,3,2,6
QSI293,0,103.199.22.113,100,815,1,04/03/2019,R_Tt0mrOywPWn1oS5, , , , ,10.81419373,106.6437988,anonymous,VI,2,18,2,1,2,2,1,3,1,1,1, ,1, ,1, ,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,4,6,3,5,7,4,1,2,5,3,6,1,1, ,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,5,1,4,2,3,6
QSI294,0,14.161.7.186,100,588,1,04/03/2019,R_2D1AQ3pngpaw8D0, , , , ,10.81419373,106.6437988,anonymous,VI,2,33,3,2,2,1,1,4,1,1,1,1,1,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,1,4,6,8,5,1,2,3,4,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,1,2,4,3,5,6
QSI295,0,103.88.122.6,100,1520,1,04/03/2019,R_3I9VIOOb452zUEG, , , , ,10.81419373,106.6437988,anonymous,EN,2,21,2,1,2,2,1,3,2,1,1,1,1,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,4,6,2,8,3,1,2,5,4,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,4,4,4,4,1,3,5,2,6
QSI296,0,113.23.25.102,100,645,1,04/03/2019,R_2RVZ72LoNM0JJ9h, , , , ,10.81419373,106.6437988,anonymous,EN,2,37,3,4,2,1,1,3,1,1,1,1, , ,1, ,1,2,4,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,4,2,6,5,8,1,4,3,2,5,7,2,1,1,1,1,1, ,1, , , , ,2,2,2,3,2,5,5,5,4,4,2,5,3,1,6
QSI297,0,113.23.91.177,100,961,1,04/03/2019,R_O3WTMbp8bhrDAfn, , , , ,21.03129578,105.851593,anonymous,VI,2,60,2,4,2,2,1,4,1,1,1,1,1,1,1, ,1,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,1,8,5,7,2,3,1,4,5,6,1,1, , , , , ,1, , , , ,1,1,1,1,1,5,5,5,5,1,3,4,5,2,6
QSI298,0,117.7.251.102,100,361,1,04/03/2019,R_XHOm9CNuXsxcSLT, , , , ,21.03129578,105.851593,anonymous,EN,2,32,3,2,4,2,1,3,1,1, ,1,1, , , ,1,3,2,2,2,2,1,2,1,1,2,1,1,1,1,1,3,4,5,2,6,1,8,3,2,1,4,5,6,2, , , , ,1, , ,1, , , ,2,2,2,2,2,5,5,5,5,5,2,3,4,1,6
QSI299,0,171.253.134.96,100,414,1,04/03/2019,R_3gUkgNbfc256acO, , , , ,10.81419373,106.6437988,anonymous,VI,2,23,2,1,2,5,1,4,2,1,1, , , ,1, ,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,6,5,1,4,3,2,8,1,5,4,3,2,6,3,1,1,1,1,1, ,1,1, , , ,3,4,1,3,3,6,5,4,5,5,4,2,3,1,6
QSI300,0,42.112.87.35,100,840,1,04/03/2019,R_2CTFYU6wVop6IhA, , , , ,10.81419373,106.6437988,anonymous,VI,2,22,2,1,2,2,1,3,1, , ,1, , , , ,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,6,3,8,3,2,1,4,5,6,1, , , , ,1, , ,1, , , ,1,1,1,1,1,5,5,5,5,2,3,5,4,1,6
QSI301,0,118.69.244.32,100,823,1,04/03/2019,R_2zbYelf7H2V0jnb, , , , ,10.81419373,106.6437988,anonymous,VI,2,34,2,2,3,1,1,4,2,1,1,1,1,1,1, ,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,6,2,8,5,1,2,4,3,6,1,1,1,1,1,1,1, ,1, , , ,1,1,1,1,1,5,5,5,5,5,3,2,4,1,6
